id,category,keywords,name,similar_games,involved_companies,platforms,release_dates,genres,themes
75125,0,,Cube Escape: Arles,"[25222, 25646, 27266, 27725, 33110, 95776, 106992, 107614, 109129, 110503]",[130958],"[14, 34, 39]","[243763, 243764, 243765]","[9, 31]",
75131,0,[101],Cube Escape: The Cave,"[25222, 25646, 27266, 27725, 95776, 106992, 107614, 109129, 110503, 119305]",[130947],"[14, 34, 39]","[154740, 154741, 244090]","[9, 31]",
153101,1,,Trainz Railroad Simulator 2019: CO17-3373 (Russian Loco and Tender),"[28277, 65827, 87485, 100794, 100806, 101573, 105264, 106008, 112754, 114766]",,"[6, 14]","[292340, 292341]",[13],
78382,0,[3782],Battle Cheese,"[17613, 17637, 24620, 32510, 36269, 36346, 36553, 55036, 77597]",,,,[15],
34243,0,,Vehicle Simulator,"[28277, 33603, 37419, 44087, 51577, 55888, 65827, 76263, 87975, 116582]",,[6],[79091],"[13, 32]",
102499,0,,Sherlock Holmes: Art Of Detection (Ink Spotters),,,,,,
71431,0,"[1186, 2859, 3782, 4162, 4310, 4805, 5469, 7593]",Spy vs. Spy Trilogy,"[9166, 17613, 25311, 26574, 27092, 28182, 36553, 55036, 55590]",,,,[15],[1]
98549,0,,Hidden Object: Travel The World,,,,,,
22818,0,"[350, 1027, 1079, 1207, 1416, 1529, 2691, 2692]",The Wardrobe,"[60, 11367, 13189, 18011, 18841, 25222, 28309, 35994, 81275, 86657]","[65922, 96304, 96305]","[3, 6, 14, 48, 130]","[63517, 63518, 63519, 156135, 248948]","[2, 31, 32]",[27]
100835,0,,Chained Bikes: Mega Ramp Stunts,"[27378, 43016, 80382, 103018, 104983, 107196, 109292, 116376, 120268]",,,,[10],
108785,0,,Gundam Virtual Modeler Light,,,,,,
75124,0,,Cube Escape: The Lake,"[25222, 25646, 27266, 27725, 33110, 95776, 106992, 107614, 109129, 110503]",[130963],"[14, 34, 39]","[154732, 154733, 243769]","[9, 31]",
73941,0,"[296, 736, 1026]",Dusk of the Gods,"[19404, 27092, 28182, 28309, 30245, 36198, 54775, 55038, 55199, 80916]","[124685, 124686]",[13],[239004],[12],[1]
176477,0,,Age of Trades,"[17414, 28277, 30871, 75948, 87622, 103301, 106992, 112416, 114145, 115374]",,,,[31],
34321,0,,Starsphere,"[65827, 75948, 94741, 106992, 111043, 113895, 115850, 119788, 120028, 121309]",,[6],[79355],[32],
37260,0,[4157],Mille Miglia,"[27378, 27553, 40470, 44178, 55192, 59341, 80382, 80729, 109292, 120268]",[142580],[7],[299701],[10],
92453,0,,Thing Thing 3,,,[82],[308858],,
67272,0,[2875],Insector Hecti in the Interchange,"[10603, 19222, 25222, 26223, 41349, 60044, 82953, 87507, 95776]",,,,[9],
89083,0,,Second Grade Learning Games,,,,,,
73441,0,"[1019, 1098, 1756, 2049, 4317, 4512]",Pine Applin,"[19150, 20342, 24426, 55173, 55190, 56033, 63138, 89597, 115276]",,,,[8],[1]
89694,0,,My Singing Monsters:DawnOfFire,,,,,,
